entrada,preco_entrada,saida,preco_saida,pnl,retorno
2023-06-03,1907.3032,2023-06-06,1809.5048,-2410.32,-0.053171
2023-06-07,1884.9520,2023-06-08,1831.2039,-1307.17,-0.030455
2023-06-20,1737.7985,2023-06-29,1827.2259,2054.03,0.049359
2023-06-30,1853.3262,2023-07-07,1845.3868,-273.94,-0.006273
2023-07-14,2005.2921,2023-07-18,1910.2244,-2139.82,-0.049312
2023-07-30,1881.3402,2023-07-31,1860.9691,-528.23,-0.012804
2023-08-02,1874.5068,2023-08-03,1839.1100,-848.87,-0.020844
2023-08-09,1857.0681,2023-08-12,1847.2759,-289.52,-0.007260
2023-08-13,1850.9250,2023-08-14,1839.9796,-312.73,-0.007900
2023-08-30,1729.9045,2023-09-01,1645.1770,-1998.23,-0.050878
2023-09-08,1648.9341,2023-09-09,1635.7117,-372.79,-0.010001
2023-09-15,1627.2932,2023-09-18,1621.8287,-197.41,-0.005349
2023-09-19,1637.7285,2023-09-21,1621.1690,-443.74,-0.012089
2023-09-29,1653.6564,2023-10-05,1645.8966,-242.27,-0.006681
2023-10-07,1646.0326,2023-10-08,1633.2929,-350.19,-0.009722
2023-10-17,1600.4798,2023-10-18,1563.8477,-886.06,-0.024841
2023-10-21,1604.8020,2023-11-15,1978.4603,8013.34,0.230374
2023-11-16,2059.6593,2023-11-17,1960.8791,-2133.95,-0.049862
2023-11-20,2012.4657,2023-11-22,1931.8636,-1706.62,-0.041969
2023-11-23,2064.2916,2023-11-28,2026.5762,-788.17,-0.020232
2023-11-29,2049.2741,2023-11-30,2027.7856,-475.69,-0.012463
2023-12-01,2053.0660,2023-12-12,2223.7876,3052.76,0.080990
2023-12-14,2260.8298,2023-12-16,2219.6796,-821.56,-0.020163
2023-12-22,2240.8399,2023-12-27,2229.5647,-280.25,-0.007020
2023-12-28,2379.5492,2023-12-31,2290.5841,-1558.43,-0.039311
2024-01-02,2353.2360,2024-01-04,2208.6951,-2410.71,-0.063297
2024-01-09,2331.9654,2024-01-19,2469.5546,2029.37,0.056886
2024-01-30,2318.6988,2024-02-01,2281.8585,-673.19,-0.017855
2024-02-03,2310.3746,2024-02-04,2295.6216,-309.98,-0.008371
2024-02-07,2373.7563,2024-03-16,3740.2190,21022.94,0.572506
2024-03-26,3591.8650,2024-03-28,3500.3789,-1583.19,-0.027417
2024-03-29,3563.1607,2024-03-30,3508.1051,-978.23,-0.017418
2024-04-01,3647.2227,2024-04-02,3502.6378,-2293.45,-0.041561
2024-04-08,3455.9371,2024-04-13,3235.3915,-3474.11,-0.065687
2024-04-21,3156.7876,2024-04-25,3139.0097,-376.46,-0.007618
2024-04-28,3257.3379,2024-05-01,3012.7229,-3773.24,-0.076945
2024-05-04,3103.7511,2024-05-07,3061.1287,-710.80,-0.015703
2024-05-16,3033.6961,2024-05-17,2943.3376,-1413.42,-0.031723
2024-05-18,3093.5560,2024-06-08,3676.8207,8031.42,0.186167
2024-06-17,3625.8920,2024-06-18,3509.2545,-1745.06,-0.034102
2024-06-20,3562.1902,2024-06-21,3510.8237,-810.07,-0.016389
2024-06-28,3452.1352,2024-06-29,3378.7298,-1128.86,-0.023219
2024-07-01,3439.8691,2024-07-03,3419.9792,-368.92,-0.007769
2024-07-13,3135.5670,2024-07-25,3334.1421,2883.96,0.061205
2024-07-30,3319.7691,2024-07-31,3277.3805,-737.10,-0.014741
2024-08-13,2724.1614,2024-08-15,2659.8694,-1258.83,-0.025552
2024-08-20,2637.7082,2024-08-21,2571.5136,-1298.28,-0.027043
2024-08-22,2631.9853,2024-08-27,2679.3397,745.38,0.015958
2024-09-11,2389.6943,2024-09-12,2339.2398,-1094.74,-0.023069
2024-09-14,2440.8198,2024-09-16,2315.1518,-2474.74,-0.053381
2024-09-19,2375.9874,2024-10-01,2600.8589,4057.45,0.092456
2024-10-12,2440.8198,2024-10-23,2621.4486,3445.03,0.071857
2024-10-29,2568.6937,2024-11-01,2517.4407,-1125.96,-0.021911
2024-11-07,2723.2209,2024-11-21,3068.4650,6258.91,0.124527
2024-11-22,3357.7881,2024-12-10,3710.3139,5809.17,0.102780
2024-12-12,3833.4458,2024-12-19,3625.3264,-3501.68,-0.056180
2025-01-03,3457.9781,2025-01-08,3379.1696,-1455.57,-0.024743
2025-01-16,3452.8356,2025-01-17,3306.3160,-2544.34,-0.044348
2025-01-18,3475.6370,2025-01-19,3306.1961,-2777.13,-0.050652
2025-01-22,3329.1738,2025-01-23,3241.5884,-1470.64,-0.028254
2025-01-24,3340.6495,2025-01-27,3231.1936,-1755.01,-0.034697
2025-01-31,3249.0337,2025-02-02,3115.7513,-2096.47,-0.042938
2025-02-13,2739.7192,2025-02-14,2674.4821,-1203.83,-0.025762
2025-02-15,2727.6732,2025-02-16,2691.9534,-685.93,-0.015067
2025-02-18,2745.8422,2025-02-19,2670.8439,-1311.85,-0.029257
2025-02-20,2716.9378,2025-02-22,2661.4586,-974.01,-0.022377
2025-02-23,2764.3515,2025-02-25,2512.3532,-3956.42,-0.092976
2025-03-03,2519.2990,2025-03-04,2148.2254,-5750.78,-0.148996
2025-03-20,2057.4482,2025-03-22,1964.8571,-1540.84,-0.046911
2025-03-23,1981.6403,2025-03-27,2008.4953,360.85,0.011527
2025-04-13,1645.1622,2025-04-14,1597.0411,-987.65,-0.031190
2025-04-20,1614.0166,2025-04-21,1586.6663,-580.12,-0.018910
2025-04-23,1757.1781,2025-05-24,2525.3267,13071.00,0.434278
2025-05-25,2531.7652,2025-05-31,2529.9044,-117.92,-0.002732
2025-06-03,2608.8938,2025-06-06,2413.1828,-3309.14,-0.076865
2025-06-10,2681.5801,2025-06-14,2578.0004,-1611.44,-0.040547
2025-06-25,2449.9944,2025-06-26,2417.3407,-583.38,-0.015299
2025-06-29,2436.9879,2025-07-02,2403.9274,-583.37,-0.015537
2025-07-03,2571.7152,2025-08-01,3696.3909,16059.15,0.434453
2025-08-05,3723.0606,2025-08-06,3610.3539,-1707.88,-0.032210
2025-08-07,3684.9516,2025-08-19,4311.6731,8607.53,0.167738
2025-08-21,4338.4081,2025-08-22,4223.5872,-1702.48,-0.028411
2025-08-23,4834.1158,2025-08-26,4374.5916,-5639.61,-0.096867
2025-08-27,4602.7002,2025-08-28,4504.8864,-1220.24,-0.023207
2025-09-04,4452.5151,2025-09-05,4295.4712,-1910.53,-0.037198
2025-09-11,4352.1650,2025-09-17,4499.0294,1566.56,0.031680
2025-09-18,4592.5051,2025-09-20,4466.8655,-1494.83,-0.029301
2025-09-30,4216.8674,2025-10-01,4143.2274,-962.02,-0.019426
2025-10-02,4350.5042,2025-10-10,4366.0159,75.77,0.001560
2025-10-14,4243.9209,2025-10-15,4122.8675,-1481.68,-0.030465
2025-10-25,3936.7074,2025-10-29,3977.7201,396.05,0.008399
2025-11-10,3585.2917,2025-11-12,3416.5509,-2328.45,-0.048969
2025-11-25,2954.8067,2025-12-02,2797.3506,-2495.30,-0.055180
2025-12-03,2997.6381,2025-12-06,3020.3291,237.41,0.005557
2025-12-07,3039.6090,2025-12-13,3083.0477,526.92,0.012264
2025-12-22,3003.5710,2025-12-24,2963.4176,-667.14,-0.015340
2025-12-31,2975.2269,2026-01-09,3105.1467,1780.67,0.041582
2026-01-12,3125.0718,2026-01-13,3094.1122,-530.12,-0.011885
2026-01-14,3326.9526,2026-01-20,3187.6054,-1930.37,-0.043799
2026-01-28,3027.3529,2026-01-30,2821.1687,-2948.73,-0.069969
2026-02-15,2087.7433,2026-02-16,1965.6067,-2366.69,-0.060383
2026-02-26,2058.5287,2026-02-28,1928.8451,-2389.05,-0.064870
2026-03-03,2028.5137,2026-03-07,1977.8006,-928.07,-0.026948
2026-03-10,1994.2466,2026-03-20,2136.7511,2322.88,0.069317
2026-03-24,2153.1260,2026-03-27,2059.1299,-1632.82,-0.045566
2026-04-01,2106.6628,2026-04-03,2056.0714,-888.03,-0.025965
2026-04-06,2111.0550,2026-04-20,2262.4882,2318.32,0.069592
2026-04-21,2314.7368,2026-04-25,2313.9225,-83.70,-0.002349
2026-04-27,2370.5447,2026-04-28,2302.5681,-1088.33,-0.030616
2026-05-03,2318.3286,2026-05-08,2290.4042,-483.08,-0.014019
2026-05-10,2327.5932,2026-05-13,2273.8925,-850.19,-0.025023
2026-06-15,1726.5228,2026-06-19,1710.2744,-377.31,-0.011390
2026-06-21,1741.6504,2026-06-22,1706.2964,-728.87,-0.022257
2026-06-23,1729.2242,2026-06-24,1666.3664,-1225.58,-0.038276
2026-07-03,1701.4503,2026-07-24,1877.4108,3116.78,0.101213
2026-07-27,1955.9075,2026-07-28,1891.6237,-1180.06,-0.034799
2026-07-29,1922.9710,2026-08-01,1861.8086,-1104.36,-0.033741
2026-08-06,1910.1846,2026-08-11,1872.2534,-689.95,-0.021816
2026-08-18,1914.6168,2026-09-02,2417.5106,8047.76,0.260137
2026-09-04,2508.6637,2026-09-06,2513.5126,-2.69,-0.000069
