entrada,preco_entrada,saida,preco_saida,pnl,retorno
2022-10-18,19557.4738,2022-10-20,19117.0367,-496.87,-0.024473
2022-10-24,19580.4853,2022-11-03,20141.9240,527.19,0.026618
2022-11-05,21155.7726,2022-11-08,20577.3062,-595.48,-0.029287
2022-11-24,16613.2025,2022-11-26,16511.9399,-159.50,-0.008081
2022-12-01,17173.2824,2022-12-08,16828.6815,-431.18,-0.022024
2022-12-09,17234.6130,2022-12-17,16623.0843,-716.27,-0.037410
2022-12-27,16930.5610,2022-12-28,16698.6465,-288.78,-0.015669
2023-01-03,16681.6366,2023-02-06,22921.8334,6736.54,0.371330
2023-02-08,23257.7230,2023-02-09,22948.5200,-379.79,-0.015266
2023-02-16,24341.3646,2023-02-24,23926.9306,-465.22,-0.018990
2023-03-02,23643.8160,2023-03-03,23454.1671,-240.41,-0.010003
2023-03-13,22006.2976,2023-03-28,27113.5364,5463.27,0.229619
2023-03-29,27275.2308,2023-04-04,27786.1999,488.53,0.016698
2023-04-05,28182.9844,2023-04-08,27892.6467,-365.24,-0.012279
2023-04-10,28333.0595,2023-04-18,29413.0861,1058.97,0.036045
2023-04-19,30395.9904,2023-04-20,28789.1982,-1666.63,-0.054754
2023-04-26,28312.7493,2023-05-02,28059.0635,-314.77,-0.010940
2023-05-04,29047.5165,2023-05-07,28835.5750,-264.07,-0.009280
2023-05-18,27419.0026,2023-05-19,26805.1907,-686.20,-0.024340
2023-05-24,27239.0127,2023-05-25,26313.7366,-987.46,-0.035899
2023-05-28,26868.8277,2023-06-01,27196.3950,269.67,0.010169
2023-06-03,27255.1207,2023-06-04,27055.6654,-249.18,-0.009301
2023-06-07,27248.5174,2023-06-08,26327.2298,-948.55,-0.035741
2023-06-17,26358.9729,2023-07-07,29878.1535,3358.71,0.131245
2023-07-11,30429.4071,2023-07-13,30366.3093,-117.75,-0.004067
2023-07-14,31472.0281,2023-07-15,30294.9450,-1133.80,-0.039324
2023-07-24,30097.8414,2023-07-25,29162.8113,-914.11,-0.033002
2023-08-02,29722.8540,2023-08-03,29169.9078,-550.80,-0.020564
2023-08-09,29786.0856,2023-08-14,29287.4490,-490.70,-0.018705
2023-08-15,29446.7160,2023-08-16,29186.7993,-278.20,-0.010807
2023-08-30,27732.2592,2023-09-01,25925.6307,-1706.46,-0.067013
2023-09-08,26272.8298,2023-09-09,25902.3423,-381.82,-0.016071
2023-09-13,25856.6218,2023-09-22,26552.7170,581.36,0.024870
2023-09-29,27037.3119,2023-10-10,27574.2060,426.92,0.017820
2023-10-16,27166.5765,2023-11-15,35526.5279,7440.10,0.305116
2023-11-16,37875.8285,2023-11-17,36144.6186,-1515.30,-0.047614
2023-11-18,36628.7052,2023-11-22,35721.0306,-810.13,-0.026729
2023-11-23,37428.5049,2023-12-12,41227.6759,2929.38,0.099304
2023-12-14,42890.9348,2023-12-16,41922.1285,-795.81,-0.024541
2023-12-19,42673.4260,2023-12-25,42964.6070,152.21,0.004812
2023-12-26,43590.9846,2023-12-27,42491.9434,-863.28,-0.027160
2023-12-28,43453.6159,2023-12-29,42541.3187,-709.68,-0.022951
2024-01-02,44208.9935,2024-01-04,42818.0802,-1009.00,-0.033397
2024-01-05,44173.3757,2024-01-13,42762.7080,-989.07,-0.033869
2024-01-27,41841.4103,2024-02-05,42566.7060,431.72,0.015302
2024-02-06,42728.4535,2024-02-24,50724.5251,5292.70,0.184765
2024-02-25,51593.1837,2024-03-17,65275.5459,8914.54,0.262669
2024-03-21,67867.9170,2024-03-22,65471.2480,-1595.89,-0.037241
2024-03-25,67245.5059,2024-04-03,65436.0656,-1190.35,-0.028852
2024-04-05,68528.4471,2024-04-06,67799.5833,-505.35,-0.012613
2024-04-07,68931.2484,2024-04-13,67087.1396,-1135.31,-0.028697
2024-04-21,64970.5690,2024-04-25,64246.4607,-504.18,-0.013121
2024-05-04,62907.4380,2024-05-08,62286.9410,-449.07,-0.011842
2024-05-10,63100.5345,2024-05-11,60771.5990,-1455.16,-0.038833
2024-05-14,62963.4660,2024-05-15,61542.2135,-883.35,-0.024526
2024-05-16,66245.7063,2024-05-30,67613.7762,653.92,0.018612
2024-05-31,68392.6793,2024-06-01,67508.8287,-533.08,-0.014895
2024-06-04,68835.1003,2024-06-08,69313.3260,174.00,0.004936
2024-06-10,69676.6209,2024-06-12,67278.5439,-1287.72,-0.036346
2024-07-01,62805.6871,2024-07-03,62114.0275,-443.45,-0.012989
2024-07-14,59233.2018,2024-07-25,65339.4140,3399.56,0.100884
2024-07-26,65834.9010,2024-07-31,66155.0060,105.90,0.002855
2024-08-09,61722.8460,2024-08-12,58682.2442,-1903.39,-0.051162
2024-08-14,60614.8923,2024-08-15,58654.6580,-1209.82,-0.034273
2024-08-18,59529.5499,2024-08-19,58404.5831,-711.05,-0.020858
2024-08-20,59468.2192,2024-08-21,58974.7979,-343.09,-0.010279
2024-08-22,61186.5780,2024-08-28,59377.1966,-1040.98,-0.031510
2024-09-10,57059.4155,2024-09-17,58182.8940,564.78,0.017652
2024-09-18,60344.8573,2024-10-01,63295.9362,1524.05,0.046808
2024-10-07,62856.8127,2024-10-08,62190.8890,-428.47,-0.012571
2024-10-12,62577.3730,2024-10-24,66632.7670,2109.47,0.062679
2024-10-25,68232.6993,2024-10-26,66676.6450,-885.45,-0.024758
2024-10-28,68056.2111,2024-11-02,69460.8522,648.76,0.018600
2024-11-06,69407.4864,2024-11-26,92955.4990,11958.63,0.336596
2024-11-28,95896.0241,2024-12-10,97227.0621,562.92,0.011854
2024-12-12,101167.9587,2024-12-19,100158.0959,-574.68,-0.011960
2024-12-25,98705.4281,2024-12-27,95730.0111,-1523.10,-0.032082
2025-01-03,97036.8942,2025-01-08,96909.5210,-152.01,-0.003308
2025-01-15,96608.2800,2025-01-27,102549.3997,2719.42,0.059376
2025-01-30,103787.1677,2025-02-01,102388.7800,-749.37,-0.015445
2025-02-13,97919.0351,2025-02-14,96568.6915,-752.90,-0.015761
2025-02-15,97552.8521,2025-02-17,96057.5472,-813.18,-0.017296
2025-02-20,96692.7222,2025-02-22,96124.8136,-363.14,-0.007860
2025-03-03,94316.6347,2025-03-04,86176.6901,-4039.94,-0.088130
2025-03-06,90654.0043,2025-03-08,86753.8014,-1878.32,-0.044935
2025-03-15,84030.5943,2025-03-17,82536.8110,-788.04,-0.019739
2025-03-18,84053.9059,2025-03-19,82668.4451,-721.95,-0.018448
2025-03-20,86887.1218,2025-03-22,84044.4567,-1330.97,-0.034649
2025-03-24,86126.4417,2025-03-29,84385.1863,-822.28,-0.022175
2025-04-02,85210.8841,2025-04-03,82472.8430,-1235.22,-0.034066
2025-04-05,83931.0446,2025-04-06,83497.8302,-250.40,-0.007149
2025-04-10,82659.6092,2025-04-11,79552.2040,-1374.10,-0.039516
2025-04-12,83455.8071,2025-05-05,94226.6631,4235.22,0.126805
2025-05-06,94784.6686,2025-05-29,107730.0081,5054.55,0.134305
2025-06-08,105606.3768,2025-06-13,105610.9681,-83.44,-0.001955
2025-06-17,106859.4030,2025-06-18,104512.8175,-1018.86,-0.023914
